p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
BY	30	TRUE	1e-05	50	FALSE	0.03	0.8976	0.209876543209877
hochberg	70	TRUE	1e-04	200	TRUE	0.02	0.9024	0.175675675675676
BH	0	FALSE	1e-04	100	TRUE	0.1	0.8928	0.229885057471264
BH	60	FALSE	1e-05	50	FALSE	0.05	0.896	0.308510638297872
hommel	20	TRUE	0.001	50	FALSE	0.04	0.9008	0.205128205128205
BY	60	TRUE	1e-06	125	TRUE	0.07	0.9008	0.205128205128205
hochberg	0	TRUE	0.001	125	FALSE	0.06	0.9008	0.205128205128205
bonferroni	40	FALSE	1e-06	100	TRUE	0.02	0.9024	0.175675675675676
holm	30	FALSE	1e-04	200	FALSE	0.01	0.9008	0.205128205128205
holm	80	FALSE	1e-04	200	FALSE	0.03	0.9008	0.205128205128205
BH	90	TRUE	1e-05	100	TRUE	0.05	0.8928	0.229885057471264
BY	100	FALSE	1e-04	150	TRUE	0.1	0.9008	0.205128205128205
bonferroni	40	FALSE	0.001	100	TRUE	0.1	0.9024	0.175675675675676
holm	100	FALSE	1e-06	200	FALSE	0.08	0.9008	0.205128205128205
BY	80	TRUE	1e-05	150	TRUE	0.08	0.9008	0.205128205128205
hochberg	100	TRUE	1e-05	125	TRUE	0.06	0.9024	0.175675675675676
holm	100	TRUE	1e-05	50	FALSE	0.05	0.9008	0.205128205128205
BH	80	FALSE	0.001	200	FALSE	0.09	0.8944	0.290322580645161
hochberg	90	TRUE	0.001	100	FALSE	0.01	0.9008	0.205128205128205
fdr	10	TRUE	1e-05	75	FALSE	0.08	0.8944	0.290322580645161
hommel	10	TRUE	1e-06	50	FALSE	0.03	0.9008	0.205128205128205
fdr	60	FALSE	1e-04	175	TRUE	0.05	0.8928	0.229885057471264
BY	10	TRUE	0.001	75	FALSE	0.08	0.8976	0.209876543209877
hommel	80	FALSE	1e-06	100	TRUE	0.09	0.9016	0.174496644295302
holm	10	TRUE	1e-04	125	FALSE	0.06	0.9008	0.205128205128205
holm	0	TRUE	0.001	200	TRUE	0.08	0.9016	0.174496644295302
hochberg	90	FALSE	1e-05	125	FALSE	0.03	0.9008	0.205128205128205
hochberg	100	TRUE	1e-05	175	TRUE	0.03	0.9024	0.175675675675676
BY	80	FALSE	1e-05	125	FALSE	0.1	0.8976	0.209876543209877
BH	50	TRUE	1e-05	150	FALSE	0.06	0.8944	0.290322580645161
fdr	20	TRUE	0.001	125	FALSE	0.1	0.8944	0.290322580645161
BY	60	FALSE	1e-06	75	FALSE	0.04	0.8976	0.209876543209877
BY	0	FALSE	1e-05	200	FALSE	0.09	0.8976	0.209876543209877
BH	40	FALSE	1e-05	150	FALSE	0.01	0.8944	0.290322580645161
bonferroni	60	TRUE	1e-04	200	FALSE	0.03	0.9008	0.194805194805195
hochberg	10	FALSE	0.001	200	FALSE	0.08	0.9008	0.205128205128205
holm	80	FALSE	1e-06	50	FALSE	0.06	0.9008	0.205128205128205
BH	40	FALSE	0.001	50	TRUE	0.02	0.8912	0.227272727272727
