featureid	X10483.recip.436.ASO.PD3.D14	X10483.recip.642.ASO.HC6.D14	X10483.recip.650.ASO.PD6.D7	X10483.recip.642.ASO.HC6.D49	X10483.recip.465.ASO.PD3.D14	X10483.recip.411.ASO.HC2.D49	X10483.recip.413.WT.HC2.D7	X10483.recip.467.WT.HC3.D7.b	X10483.recip.413.WT.HC2.D14	X10483.recip.456.ASO.HC3.D7	X10483.recip.412.ASO.HC2.D7	X10483.recip.436.ASO.PD3.D21	X10483.recip.654.ASO.HC6.D7	X10483.recip.643.WT.HC6.D14	X10483.recip.391.ASO.PD2.D49	X10483.recip.640.ASO.HC6.D7	X10483.recip.639.WT.PD6.D14	X10483.recip.652.ASO.HC6.D7	X10483.recip.452.ASO.PD3.D21	X10483.recip.635.ASO.HC5.D49	X10483.donor3.PD	X10483.recip.401.ASO.HC2.D7	X10483.recip.220.WT.OB1.D7	X10483.recip.542.WT.HC4.D49	X10483.recip.389.WT.HC2.D49	X10483.recip.320.WT.PD1.D21	X10483.recip.544.ASO.HC4.D7	X10483.recip.625.ASO.HC5.D14	X10483.recip.436.ASO.PD3.D49	X10483.recip.638.ASO.PD6.D7	X10483.recip.462.WT.PD3.D14	X10483.recip.386.WT.PD2.D14	X10483.recip.624.WT.HC5.D14	X10483.recip.546.ASO.PD4.D14	X10483.recip.435.ASO.HC3.D14	X10483.recip.466.ASO.PD3.D14	X10483.recip.540.ASO.HC4.D21	X10483.recip.636.ASO.PD6.D749	X10483.recip.549.WT.PD4.D14	X10483.recip.411.ASO.HC2.D7	X10483.recip.463.WT.PD3.D7	X10483.donor4.PD	X10483.recip.389.WT.HC2.D14	X10483.recip.452.ASO.PD3.D7	X10483.recip.452.ASO.PD3.D49	X10483.recip.316WT.HC1.D21	X10483.recip.317.ASO.HC1.D7	X10483.recip.315.WT.HC1.D49	X10483.recip.457.WT.HC3.D7	X10483.recip.634.WT.HC5.D7	X10483.donor2.PD	X10483.recip.466.ASO.PD3.D49	X10483.recip.540.ASO.HC4.D7	X10483.recip.317.ASO.HC1.D49	X10483.recip.465.ASO.PD3.D7	X10483.recip.457.WT.HC3.D14	X10483.recip.411.ASO.HC2.D21	X10483.recip.437.ASO.HC3.D7	X10483.recip.614.WT.PD5.D14	X10483.recip.542.WT.HC4.D21	X10483.recip.312.WT.HC1.D14	X10483.recip.584.ASO.OBAWT.D49	X10483.recip.639.WT.PD6.D49	X10483.recip.387.WT.PD2.D49	X10483.recip.467.WT.HC3.D49.a	X10483.recip.325.ASO.PD1.D7	X10483.recip.536.ASO.PD4.D14	X10483.recip.647.ASO.PD6.D49	X10483.recip.633.ASO.HC5.D7	X10483.recip.456.ASO.HC3.D21	X10483.recip.313.ASO.HC1.D7	X10483.recip.226.ASO.OB1.D7	X10483.recip.620.ASO.HC5.D49	X10483.recip.325.ASO.PD1.D49	X10483.recip.536.ASO.PD4.D7	X10483.recip.634.WT.HC5.D14	X10483.recip.641.ASO.HC6.D14	X10483.recip.388.WT.HC2.D7	X10483.recip.389.WT.HC2.D7	X10483.recip.620.ASO.HC5.D14	X10483.recip.392.ASO.PD2.D21	X10483.recip.622.ASO.PD5.D14	X10483.recip.464.WT.PD3.D21	X10483.donor3.HC	X10483.recip.651.ASO.HC6.D7	X10483.recip.324.WT.PD1.D49	X10483.recip.538.WT.PD4.D21	X10483.recip.460.WT.HC3.D7	X10483.recip.622.ASO.PD5.D49	X10483.recip.467.WT.PD3.D21.a	X10483.recip.465.ASO.PD3.D49	X10483.recip.290.ASO.OB2.D1	X10483.recip.561.ASO.HC4.D14	X10483.recip.541.ASO.HC4.D14	X10483.recip.650.ASO.PD6.D14	X10483.recip.455.WT.PD3.D49	X10483.recip.414.WT.PD2.D14	X10483.recip.323.ASO.PD1.D14	X10483.recip.388.WT.HC2.D14	X10483.recip.559.WT.HC4.D7	X10483.recip.402.ASO.PD2.D21	X10483.recip.317.ASO.HC1.D21	X10483.recip.319.WT.HC1.D21	X10483.recip.461.ASO.HC3.D14	X10483.recip.318.ASO.HC1.D49	X10483.recip.641.ASO.HC6.D49	X10483.recip.459.WT.HC3.D49	X10483.recip.621.ASO.HC5.D49	X10483.recip.462.WT.PD3.D7	X10483.recip.537.WT.PD4.D7	X10483.recip.624.WT.HC5.D7	X10483.recip.437.ASO.HC3.D21	X10483.recip.647.ASO.PD6.D14	X10483.recip.542.WT.HC4.D14	X10483.recip.412.ASO.HC2.D14	X10483.recip.400.ASO.HC2.D14	X10483.recip.583.ASO.OBASO.D7	X10483.recip.646.WT.PD6.D7	X10483.recip.320.WT.PD1.D49	X10483.recip.537.WT.PD4.D21	X10483.recip.454.WT.PD3.D14	X10483.recip.645.WT.PD6.D7	X10483.recip.435.ASO.HC3.D21	X10483.recip.392.ASO.PD2.D14	X10483.donor2.HC	X10483.recip.622.ASO.PD5.D7	X10483.donor1.HC	X10483.recip.403.ASO.PD2.D7	X10483.recip.615.ASO.PD5.D7	X10483.recip.318.ASO.HC1.D7	X10483.recip.630.ASO.PD5.D49	X10483.recip.544.ASO.HC4.D14	X10483.recip.536.ASO.PD4.D49	X10483.recip.313.ASO.HC1.D14	X10483.recip.459.WT.HC3.D21	X10483.recip.402.ASO.PD2.D49	X10483.recip.400.ASO.HC2.D49	X10483.recip.464.WT.PD3.D14	X10483.recip.546.ASO.PD4.D7	X10483.recip.637.ASO.PD6.D14	X10483.recip.437.ASO.HC3.D49	X10483.recip.641.ASO.HC6.D7	X10483.recip.637.ASO.PD6.D49	X10483.recip.546.ASO.PD4.D49	X10483.recip.315.WT.HC1.D21	X10483.recip.644.WT.HC6.D49	X10483.recip.558.WT.HC4.D7	X10483.recip.634.WT.HC5.D49	X10483.recip.390.ASO.PD2.D7	X10483.recip.321.WT.PD1.D49	X10483.donor5.HC	X10483.recip.386.WT.PD2.D49	X10483.recip.574.WT.OBWT.D49	X10483.recip.623.WT.PD5.D7	X10483.recip.646.WT.PD6.D49	X10483.recip.316WT.HC1.D49	X10483.recip.640.ASO.HC6.D49	X10483.recip.463.WT.PD3.D21	X10483.recip.636.ASO.PD6.D7	X10483.recip.638.ASO.PD6.D14	X10483.recip.639.WT.PD6.D7	X10483.recip.324.WT.PD1.D7	X10483.recip.467.WT.HC3.D14.a	X10483.recip.454.WT.PD3.D7	X10483.recip.649.WT.HC6.D7	X10483.recip.391.ASO.PD2.D21	X10483.recip.618.ASO.HC5.D7	X10483.recip.323.ASO.PD1.D49	X10483.recip.560.ASO.HC4.D7	X10483.recip.464.WT.PD3.D49	X10483.recip.390.ASO.PD2.D14	X10483.recip.545.WT.HC4.D14	X10483.recip.536.ASO.PD4.D21	X10483.recip.544.ASO.HC4.D21	X10483.recip.632.ASO.PD5.D7	X10483.recip.643.WT.HC6.D49	X10483.recip.314.WT.HC1.D14	X10483.recip.322.ASO.PD1.D14	X10483.recip.538.WT.PD4.D14	X10483.recip.572.WT.OBASO.D7	X10483.recip.460.WT.HC3.D14	X10483.recip.638.ASO.PD6.D49	X10483.recip.466.ASO.PD3.D7	X10483.recip.624.WT.HC5.D49	X10483.recip.653.ASO.HC6.D7	X10483.recip.625.ASO.HC5.D7	X10483.recip.616.ASO.HC5.D49	X10483.donor6.HC	X10483.recip.319.WT.HC1.D14	X10483.recip.548.ASO.PD4.D21	X10483.recip.316WT.HC1.D7	X10483.recip.625.ASO.HC5.D49	X10483.recip.537.WT.PD4.D14	X10483.recip.649.WT.HC6.D14	X10483.recip.617.WT.HC5.D49	X10483.recip.539.ASO.PD4.D7	X10483.recip.631.WT.PD5.D7	X10483.recip.400.ASO.HC2.D7	X10483.recip.617.ASO.HC5.D49	X10483.recip.321.WT.PD1.D7	X10483.recip.549.WT.PD4.D21	X10483.recip.314.WT.HC1.D49	X10483.donor1.PD	X10483.recip.561.ASO.HC4.D21	X10483.recip.403.ASO.PD2.D49	X10483.recip.437.ASO.HC3.D14	X10483.recip.460.WT.HC3.D49	X10483.recip.542.WT.HC4.D7	X10483.recip.455.WT.PD3.D7	X10483.recip.467.WT.PD3.D49	X10483.recip.467.WT.PD3.D7	X10483.recip.466.ASO.PD3.D21	X10483.recip.388.WT.HC2.D21	X10483.recip.313.ASO.HC1.D49	X10483.recip.616.WT.PD5.D7	X10483.recip.457.WT.HC3.D49	X10483.recip.547.WT.PD4.D7	X10483.recip.411.ASO.HC2.D14	X10483.recip.465.ASO.PD3.D21	X10483.recip.386.WT.PD2.D21	X10483.recip.324.WT.PD1.D14	X10483.recip.615.ASO.PD5.D14	X10483.recip.390.ASO.PD2.D21	X10483.recip.646.WT.PD6.D14	X10483.recip.313.ASO.HC1.D21	X10483.recip.403.ASO.PD2.D21	X10483.recip.643.WT.HC6.D7	X10483.recip.391.ASO.PD2.D7	X10483.recip.455.WT.PD3.D21	X10483.recip.537.WT.PD4.D49	X10483.recip.644.WT.HC6.D7	X10483.recip.458.ASO.HC3.D21	X10483.recip.467.WT.HC3.D7.a	X10483.recip.317.ASO.HC1.D14	X10483.recip.654.ASO.HC6.D14	X10483.recip.325.ASO.PD1.D14	X10483.recip.635.ASO.HC5.D7	X10483.recip.454.WT.PD3.D49	X10483.recip.401.ASO.HC2.D49	X10483.recip.462.WT.PD3.D49	X10483.recip.623.WT.PD5.D14	X10483.recip.467.WT.HC3.D21.b	X10483.recip.321.WT.PD1.D14	X10483.recip.319.WT.HC1.D49	X10483.recip.460.WT.HC3.D21	X10483.recip.456.ASO.HC3.D49	X10483.donor4.HC	X10483.recip.632.ASO.PD5.D14	X10483.recip.291.WT.OB2.D49	X10483.recip.312.WT.HC1.D7	X10483.recip.616.WT.PD5.D14	X10483.recip.387.WT.PD2.D7	X10483.recip.547.WT.PD4.D21	X10483.recip.414.WT.PD2.D7	X10483.recip.455.WT.PD3.D14	X10483.recip.391.ASO.PD2.D14	X10483.recip.545.WT.HC4.D21	X10483.recip.413.WT.HC2.D49	X10483.recip.401.ASO.HC2.D14	X10483.recip.464.WT.PD3.D7	X10483.recip.461.ASO.HC3.D21	X10483.recip.549.WT.PD4.D7	X10483.recip.458.ASO.HC3.D7	X10483.recip.647.ASO.PD6.D7	X10483.recip.621.ASO.HC5.D7	X10483.recip.316WT.HC1.D14	X10483.recip.314.WT.HC1.D21	X10483.recip.459.WT.HC3.D14	X10483.donor5.PD	X10483.recip.211.WT.OB1.D1	X10483.recip.642.ASO.HC6.D7	X10483.recip.560.ASO.HC4.D14	X10483.recip.543.ASO.HC4.D21	X10483.recip.292.WT.OB2.D49	X10483.recip.436.ASO.PD3.D7	X10483.recip.653.ASO.HC6.D14	X10483.recip.414.WT.PD2.D21	X10483.recip.631.WT.PD5.D14	X10483.recip.463.WT.PD3.D14	X10483.recip.319.WT.HC1.D7	X10483.recip.651.ASO.HC6.D14	X10483.recip.454.WT.PD3.D21	X10483.recip.467.WT.HC3.D49.b	X10483.recip.632.ASO.PD5.D49	X10483.recip.538.WT.PD4.D7	X10483.recip.293.WT.OB2.D49	X10483.recip.561.ASO.HC4.D7	X10483.recip.644.WT.HC6.D14	X10483.recip.320.WT.PD1.D14	X10483.recip.459.WT.HC3.D7	X10483.recip.414.WT.PD2.D49	X10483.donor6.PD	X10483.recip.652.ASO.HC6.D14	X10483.recip.323.ASO.PD1.D7	X10483.recip.435.ASO.HC3.D7	X10483.recip.546.ASO.PD4.D21	X10483.recip.539.ASO.PD4.D49	X10483.recip.413.WT.HC2.D21	X10483.recip.539.ASO.PD4.D14	X10483.recip.614.ASO.HC5.D49	X10483.recip.322.ASO.PD1.D49	X10483.recip.402.ASO.PD2.D7	X10483.recip.314.WT.HC1.D7	X10483.recip.386.WT.PD2.D7	X10483.recip.633.ASO.HC5.D14	X10483.recip.618.ASO.HC5.D49	X10483.recip.461.ASO.HC3.D7	X10483.recip.630.ASO.PD5.D7	X10483.recip.617.WT.HC5.D7	X10483.recip.458.ASO.HC3.D49	X10483.recip.461.ASO.HC3.D49	X10483.recip.412.ASO.HC2.D49	X10483.recip.648.ASO.PD6.D7	X10483.recip.403.ASO.PD2.D14	X10483.recip.621.ASO.HC5.D14	X10483.recip.324.WT.PD1.D21	X10483.recip.545.WT.HC4.D7	X10483.recip.392.ASO.PD2.D7	X10483.recip.312.WT.HC1.D21	X10483.recip.462.WT.PD3.D21	X10483.recip.323.ASO.PD1.D21	X10483.recip.633.ASO.HC5.D49	X10483.recip.548.ASO.PD4.D14	X10483.recip.412.ASO.HC2.D21	X10483.recip.320.WT.PD1.D7	X10483.recip.467.WT.HC3.D21	X10483.recip.645.WT.PD6.D49	X10483.recip.617.WT.HC5.D14	X10483.recip.387.WT.PD2.D21	X10483.recip.558.WT.HC4.D14	X10483.recip.389.WT.HC2.D21	X10483.recip.640.ASO.HC6.D14	X10483.recip.279.WT.OB2.D1	X10483.recip.631.WT.PD5.D49	X10483.recip.458.ASO.HC3.D14	X10483.recip.318.ASO.HC1.D14	X10483.recip.387.WT.PD2.D14	X10483.recip.541.ASO.HC4.D49	X10483.recip.467.WT.HC3.D14.b	X10483.recip.636.ASO.PD6.D14	X10483.recip.435.ASO.HC3.D49	X10483.recip.635.ASO.HC5.D14	X10483.recip.637.ASO.PD6.D7	X10483.recip.321.WT.PD1.D21	X10483.recip.312.WT.HC1.D49	X10483.recip.325.ASO.PD1.D21	X10483.recip.452.ASO.PD3.D14	X10483.recip.322.ASO.PD1.D7	X10483.recip.617.ASO.PD5.D14	X10483.recip.543.ASO.HC4.D14	X10483.recip.463.WT.PD3.D49	X10483.recip.543.ASO.HC4.D7	X10483.recip.547.WT.PD4.D14	X10483.recip.400.ASO.HC2.D21	X10483.recip.290.ASO.OB2.D49	X10483.recip.548.ASO.PD4.D7	X10483.recip.645.WT.PD6.D14	X10483.recip.615.WT.HC5.D49	X10483.recip.402.ASO.PD2.D14	X10483.recip.390.ASO.PD2.D49	X10483.recip.456.ASO.HC3.D14	X10483.recip.541.ASO.HC4.D7	X10483.recip.558.WT.HC4.D21	X10483.recip.650.ASO.PD6.D49	X10483.recip.540.ASO.HC4.D14	X10483.recip.618.ASO.HC5.D14	X10483.recip.630.ASO.PD5.D14	X10483.recip.457.WT.HC3.D21	X10483.recip.541.ASO.HC4.D21	X10483.recip.388.WT.HC2.D49	X10483.recip.401.ASO.HC2.D21	X10483.recip.315.WT.HC1.D7	X10483.recip.315.WT.HC1.D14	X10483.recip.614.WT.PD5.D7	X10483.recip.648.ASO.PD6.D14	X10483.recip.623.WT.PD5.D49
1	4468234	1375	483	2	9436	0	929	3144	0	1454	215	3152	1250	867	356	0	392	1413	18	0	1533	685	762	6967	1	778	145	0	699	225	6656	0	0	184	232	73	0	417	2365	56	661	305	1764	155	76	1802	683	0	142	3858	615	2363	0	2265	209	595	472	448	1114	766	0	209	402	5230	0	145	221	11	147	256	331	93	1638	207	486	0	2279	1404	0	0	2304	119	291	0	2331	4384	1389	141	44	2085	4	3	1663	239	0	6082	121	3052	0	0	420	50	357	498	216	231	6355	0	270	0	2	423	0	2946	677	5181	212	310	7	72	0	789	817	1449	217	529	1193	895	510	401	0	1608	1	393	9	716	1011	0	48	0	2219	181	4700	365	146	27	0	467	1618	1101	0	528	118	91	255	736	97	2656	0	440	2601	10075	0	1	532	74	1628	381	0	199	0	228	0	0	0	1133	386	83	0	456	580	743	1559	0	10102	375	1928	406	4	4482	482	3490	6304	3	10528	412	0	2247	22	877	233	1387	1250	553	823	0	5676	149	0	7099	7	1	2	597	574	2235	2892	0	1314	0	0	899	2632	1551	2809	344	3244	6474	5362	767	0	285	1789	1	0	1535	352	347	3522	0	0	1891	1	648	2348	0	2868	815	3009	1306	1033	1534	0	1483	862	3287	1822	273	1899	3061	0	5293	1638	4123	89	2540	0	270	3302	1054	1066	218	2455	4	8268	5791	2975	3020	3401	5494	2876	3811	2579	0	1684	0	2653	732	1137	827	2891	981	3114	251	0	8016	2418	0	2641	0	1537	1308	3897	309	2016	6643	553	1199	2184	1935	3988	588	524	1957	792	827	1098	0	7216	1070	199	300	734	99	1274	1478	0	1576	4857	0	1417	1575	11534	365	2909	2614	144	0	0	2	6115	197	1105	385	1080	231	0	2063	483	377	0	0	1017	2654	873	3681	6	1427	3950	842	0	3450	295	2588	5465	637	784	726	1893	362	3306	4895	4349	183	1362	3632	1912
2	4306262	0	0	84	0	0	1024	4	0	3	407	0	1199	2928	635	5636	1	0	83	4820	7560	2885	0	3	0	0	0	0	3569	5098	0	0	398	690	1231	521	0	0	3090	301	640	4	2429	0	1111	1995	0	1783	0	564	1543	2133	0	9	0	6	1703	3	0	1877	0	0	3454	0	2675	980	0	0	853	2317	801	0	3382	600	0	0	1748	5180	6244	1485	2864	952	1969	3589	3318	0	0	0	2	2618	0	0	866	691	4	0	1663	12	1082	4413	0	4458	0	2867	799	0	0	0	653	0	0	1184	0	0	3	16	0	2194	613	0	0	2441	1610	8	1079	2471	3693	2991	693	718	1003	0	0	3	0	8	0	325	0	0	0	1594	0	1210	866	0	0	2320	1299	0	698	0	257	2419	5416	2786	0	0	0	2521	80	0	3355	0	1400	618	4	838	1699	0	0	452	0	0	0	594	1105	0	2467	1494	3514	0	92	0	26	837	1501	517	6462	396	573	0	0	0	3	1505	0	1399	1174	358	0	1948	0	0	0	1431	0	330	0	2716	0	0	0	0	0	471	1845	0	0	0	2632	0	3108	1820	118	482	1336	0	0	373	0	789	0	0	1053	2705	0	12	374	875	1	601	0	0	0	5	7	1822	983	2603	0	2136	2900	180	0	1400	5	1164	0	1237	3	0	343	1478	1568	872	3628	0	0	0	2352	3445	1347	0	1591	0	589	0	890	8	0	0	1020	0	2504	0	531	0	1924	0	2386	0	0	729	4953	1	568	0	0	0	2161	1	1330	55	0	780	1308	0	2020	211	2	6	0	555	1025	2245	0	0	1782	419	0	0	1212	199	1246	0	0	520	272	925	664	4	0	1903	0	1031	0	1747	0	0	0	3349	568	1267	0	1132	1474	1209	0	1654	0	0	1	552	1141	522	1	819	2293	0	1351	2377	11	795	0	1	1560	140	899	0	0	1543	0	0	2808	0	2212
3	4447072	2883	0	13	0	4193	250	752	0	1560	236	816	33	354	2865	5511	0	0	24	3950	201	0	205	2568	1	692	4594	0	180	3130	0	874	3672	530	1	0	6	3629	335	0	3337	3018	0	780	1	1240	1750	942	724	353	149	0	0	2334	130	1963	1194	1750	480	7309	0	2693	933	2	2420	4378	3498	7	530	1242	2256	2591	406	3034	1330	0	949	618	5829	11	470	1249	857	10247	0	8	412	1336	3170	601	4	9	661	0	1615	0	201	2488	1099	1702	2207	0	2454	0	0	1652	0	1840	336	4770	3	192	72	0	1582	480	1154	1451	547	4056	5916	396	802	1413	942	0	165	0	360	1142	1734	1	0	1391	4177	6452	304	3564	2858	0	0	1697	0	412	1188	1266	1	0	4246	2498	3998	549	1365	448	496	713	610	0	2275	1093	15	0	1088	4	629	2	761	1239	2448	546	4	2	1	0	0	2306	2246	4760	929	0	5625	165	25	1273	0	263	1820	961	2	0	0	219	1	8	0	1601	271	420	12	169	7141	0	390	12	3845	3666	574	14	891	180	0	1	0	1808	357	1936	149	0	145	0	4395	1077	801	629	531	0	702	3	1309	613	113	69	19	20	674	1099	288	834	991	3734	183	231	1	351	206	592	9	0	564	4126	250	426	3361	0	716	106	820	0	453	2724	1	740	0	251	1767	77	894	355	207	89	1694	653	0	0	2027	87	118	316	209	1085	2585	0	182	394	237	0	62	1910	471	622	62	132	269	3050	277	64	0	0	3485	418	1105	382	0	26	2302	236	456	147	139	6	2692	2328	50	439	524	749	1672	0	1549	0	2437	1863	2174	1	0	286	18	103	492	698	0	523	0	265	1	27	1858	1145	0	0	1	890	643	4137	102	2	1867	394	13	49	0	0	471	0	20	50	5	68	783	2	2329	244	65	0	0	7533	141	483	775	558	150	795	748	2762	3	0	55
4	4467447	253	0	8	0	0	67	337	1	651	322	303	136	404	716	0	0	0	2	0	2889	612	0	0	0	3146	12	0	1517	167	0	0	0	729	755	458	0	0	1347	336	294	0	1661	1920	0	1809	0	0	0	403	697	982	0	0	48	0	2286	0	0	0	0	0	2198	0	0	87	660	1	201	1328	691	51	821	983	0	0	0	3544	0	0	1597	2451	2429	0	521	0	3137	0	136	2645	0	0	403	636	0	0	413	49	0	0	114	333	320	658	469	205	0	0	567	0	1	337	0	0	0	0	0	493	878	1349	0	1756	0	0	733	498	602	1281	288	435	0	0	0	0	0	267	3361	0	0	0	0	873	0	637	1539	24	0	608	0	3415	0	549	21	0	1249	1080	0	0	0	3672	0	0	0	0	1016	5	0	581	0	44	0	324	0	0	0	0	654	3199	0	1178	5	308	0	0	0	540	0	0	0	233	280	3368	0	0	0	929	0	0	1	492	134	1098	339	12	2925	0	0	0	0	1024	0	0	0	1126	38	58	870	0	50	0	0	1049	849	524	1206	740	188	0	392	1116	0	1942	64	0	0	519	1564	0	907	0	0	163	1	1032	2075	0	549	648	553	0	9	1604	0	678	10	376	0	595	71	1434	4	0	1037	938	1489	805	0	5	12	379	531	2357	563	0	0	44	120	19	0	0	921	0	874	0	784	0	37	8	647	898	548	172	128	234	0	49	1291	0	0	0	1328	3333	1366	29	1847	0	1088	52	329	148	627	0	0	1478	250	954	1383	0	756	304	0	3390	1503	178	384	62	6	338	735	0	668	0	0	173	0	532	2433	0	0	0	0	520	713	1086	3402	430	0	604	15	593	0	0	0	491	748	130	1	515	0	0	0	1022	4	643	0	0	1542	0	833	3712	1467	48	2277	2013	38	0	839
5	4365130	1353	3811	13	2893	0	161	558	0	1498	473	902	17	1976	209	0	341	3843	0	0	2509	1106	178	77	3699	241	492	4940	249	50	1613	0	0	187	4501	1578	5879	0	241	575	153	0	1836	913	3	610	422	0	195	144	431	1992	4	0	113	0	610	792	81	414	7799	631	954	3670	2964	477	1805	1	415	1068	132	5197	157	645	0	0	1164	865	0	2509	0	577	1774	0	4590	955	177	0	4511	0	0	0	182	1787	0	3301	487	535	1853	1091	3742	6925	5366	1246	327	1159	3011	0	1265	0	10	806	0	848	0	1054	304	2237	356	464	0	467	0	1333	842	664	1218	4899	232	800	0	4361	9291	0	407	276	491	871	0	835	898	1520	1474	558	3236	390	0	915	0	690	511	3740	401	1498	1526	1488	1263	1894	0	1742	5381	716	1876	0	912	2	1073	0	1846	948	0	797	2130	0	6513	213	230	2878	80	2286	728	170	1267	0	2278	211	3360	863	0	33	109	332	198	0	415	0	0	438	5	34	462	777	312	0	425	619	63	56	0	83	0	41	482	17	263	3	75	783	8	23	1	146	267	74	132	157	103	3418	254	217	0	114	30	331	0	895	227	67	135	663	0	109	0	437	16	0	52	1677	0	661	74	429	0	830	7	11	51	1528	44	834	3	0	775	68	333	182	0	25	9	265	115	586	608	600	169	5	21	15	117	0	197	62	254	0	178	0	74	880	52	525	108	351	71	547	1745	20	696	1141	116	0	366	231	2644	0	207	51	362	45	0	0	113	0	11	81	33	1317	7	997	221	218	0	823	343	156	716	7	0	24	150	1488	272	402	363	25	32	7	379	0	183	0	164	345	92	722	54	410	0	305	1	310	108	139	0	111	244	38	1	127	493	0	0	37	1	113	184	0	431	54	152	169	11	72	20	423	906	38	403
6	4457872	1028	0	7	0	1842	261	2727	0	941	25	556	55	36	210	0	0	0	5	0	406	558	109	252	0	73	227	957	529	125	0	1580	0	422	285	358	0	5752	922	128	0	1558	561	269	0	298	76	0	171	0	0	1190	0	4358	441	1830	505	748	59	399	2026	92	885	0	0	204	474	1	261	109	154	56	0	261	0	0	512	715	0	0	0	261	317	0	1487	0	603	995	301	0	0	0	121	447	6902	0	343	1287	0	0	226	1232	1305	704	264	757	0	2535	172	3032	0	192	0	0	1811	2624	145	245	459	120	1638	389	14	735	267	418	475	1391	17	37	0	0	1	2875	566	371	181	0	880	0	0	468	0	658	360	83	0	201	33	435	0	0	113	72	371	805	347	0	1435	1316	0	0	0	0	189	4	1074	0	0	89	0	142	0	4	0	11	535	145	0	852	106	473	0	2705	0	81	376	414	0	96	448	475	0	0	0	495	140	275	5	170	223	902	714	18	353	0	399	37	1214	13	0	0	0	116	411	103	622	0	129	0	0	388	538	150	374	264	470	0	146	163	1218	518	11	13	0	142	163	95	293	0	725	92	0	408	199	1240	121	933	288	888	75	395	0	257	195	141	279	683	170	239	0	1692	476	0	825	101	0	123	260	0	412	1079	0	0	720	30	179	163	248	3265	1029	0	1000	1606	282	0	16	141	442	690	7	334	12	441	0	181	630	3679	334	1804	531	417	69	0	1166	132	332	77	330	64	523	5800	36	377	39	367	0	432	61	115	700	1276	64	89	377	215	12	514	220	0	221	501	0	153	0	166	99	0	0	0	0	192	249	537	3	38	0	206	0	120	755	0	888	43	406	10	6	250	1077	0	0	89	268	338	0	1839	374	0	544	0	125	365	547	142	444	0	378
7	4429608	48	24	0	513	1620	4	559	0	1613	0	298	15	800	17	0	125	202	0	1	289	5	57	278	0	0	0	0	1249	34	208	661	0	664	0	0	0	2793	979	35	0	317	77	5	0	62	0	0	0	0	545	500	0	135	0	836	25	292	194	176	0	0	2723	16	0	16	14	0	84	1192	36	0	656	1160	0	0	950	208	0	0	1150	17	1437	0	39	40	18	924	298	1550	0	0	477	0	294	421	176	525	0	0	0	2	0	0	1	0	167	682	1351	297	0	814	0	142	425	1374	161	42	34	0	2279	0	541	206	17	185	979	0	0	340	0	144	0	1079	0	1004	24	0	28	0	11	27	113	489	177	0	60	0	1410	20	162	0	0	57	187	510	0	34	1936	390	159	323	0	0	0	0	613	995	93	0	0	84	0	0	0	0	226	1	0	27	89	416	20	4763	1098	409	0	376	0	0	13	0	56	0	186	530	93	0	0	322	3	16	0	0	18	0	804	37	14	0	0	0	0	0	0	682	0	0	66	0	0	15	969	2	18	0	544	721	166	42	498	17	131	0	0	909	0	37	11	0	1060	686	0	0	0	5249	30	6	29	939	0	1488	0	102	62	3	322	145	706	0	0	676	55	2	64	917	0	0	252	0	0	48	120	0	584	84	219	34	348	1732	13	5	45	540	530	0	201	0	35	3	0	149	0	132	0	146	0	0	758	3477	2581	0	0	0	0	423	1130	66	0	189	658	3427	9	94	0	3273	0	0	0	0	259	0	126	43	285	10	0	111	1228	0	13	283	59	0	95	0	3	0	0	0	20	8	510	482	1	2	0	20	0	443	0	0	11	0	0	146	0	53	965	0	0	0	1	0	34	910	2793	149	16	1	0	2	11	0	1316	7	2003
8	1135084	1961	0	0	0	0	1146	0	0	3242	0	2273	0	0	0	0	0	0	0	0	0	149	284	1804	0	0	0	0	0	0	0	0	0	0	1198	734	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	257	0	0	0	0	0	0	643	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	0	0	1856	0	0	0	1559	0	0	0	1118	1353	0	0	0	2866	0	0	0	0	0	1636	766	0	0	0	0	0	0	0	0	0	0	2041	430	0	0	0	0	0	0	2617	0	0	0	0	0	0	0	0	0	0	0	1382	0	0	0	0	0	0	0	0	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2420	0	0	0	0	547	0	0	0	0	0	0	0	1931	0	1069	0	0	0	0	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	2927	0	0	0	0	1015	16	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	1839	1202	0	1941	0	0	0	528	0	0	0	0	0	0	0	0	0	0	0	0	1	964	305	0	0	0	0	0	1963	38	0	424	864	539	0	0	0	0	0	0	0	0	0	712	0	0	0	1556	1	0	95	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	1602	0	0	0	494	838	0	1963	0	0	0	0	0	0	0	0	779	0	0	3364	0	146	0	0	0	0	0	0	472	0	0	0	423	1759	0	0	0	0	0	612	1688	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0
