method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.35	0.583333333333333	0.0277777777777778	0.416666666666667	0.4375	0
FlashWeave	0.27	0.556701030927835	0.0238888888888889	0.443298969072165	0.363636363636364	0
FlashWeave	0.186666666666667	0.427480916030534	0.0277777777777778	0.572519083969466	0.259860788863109	0
FlashWeave	0.1375	0.55	0.0125	0.45	0.22	0
FlashWeave	0.126	0.529411764705882	0.0124444444444444	0.470588235294118	0.203554119547658	0
FlashWeave	0.118333333333333	0.496503496503497	0.0133333333333333	0.503496503496504	0.191117092866756	0
FlashWeave	0.107142857142857	0.539568345323741	0.0101587301587302	0.460431654676259	0.178784266984505	0
FlashWeave	0.085	0.53968253968254	0.00805555555555556	0.46031746031746	0.146868250539957	0
FlashWeave	0.0755555555555556	0.47887323943662	0.0091358024691358	0.52112676056338	0.130518234165067	0
FlashWeave	0.071	0.5546875	0.00633333333333333	0.4453125	0.125886524822695	0
FlashWeave	0.0572727272727273	0.45	0.00777777777777778	0.55	0.101612903225806	0
FlashWeave	0.0541666666666667	0.524193548387097	0.00546296296296296	0.475806451612903	0.0981873111782477	0
FlashWeave	0.0492307692307692	0.492307692307692	0.00564102564102564	0.507692307692308	0.0895104895104895	0
