method	recall	precision	fpr	fdr	F1
ANCOM-BC	0.14	0.666666666666667	0.00777777777777778	0.333333333333333	0.231404958677686
ANCOM-BC	0.0636363636363636	0.5	0.00707070707070707	0.5	0.112903225806452
ANCOM-BC	0.075	0.473684210526316	0.00925925925925926	0.526315789473684	0.129496402877698
ANCOM-BC	0.0785714285714286	0.379310344827586	0.0142857142857143	0.620689655172414	0.130177514792899
ANCOM-BC	0.0875	0.608695652173913	0.00625	0.391304347826087	0.153005464480874
ANCOM-BC	0.0764705882352941	0.481481481481481	0.00915032679738562	0.518518518518518	0.131979695431472
ANCOM-BC	0.0333333333333333	0.545454545454545	0.00308641975308642	0.454545454545455	0.06282722513089
ANCOM-BC	0.0631578947368421	0.444444444444444	0.0087719298245614	0.555555555555556	0.110599078341014
ANCOM-BC	0.052	0.40625	0.00844444444444444	0.59375	0.0921985815602837
