method	recall	precision	fpr	fdr	F1
FlashWeave	0.3825	0.393316195372751	0.0655555555555556	0.606683804627249	0.387832699619772
FlashWeave	0.318	0.404580152671756	0.052	0.595419847328244	0.356103023516237
FlashWeave	0.296666666666667	0.442786069651741	0.0414814814814815	0.557213930348259	0.355289421157685
FlashWeave	0.247692307692308	0.420365535248042	0.037948717948718	0.579634464751958	0.311713455953533
FlashWeave	0.257142857142857	0.420560747663551	0.0393650793650794	0.579439252336449	0.319148936170213
FlashWeave	0.224	0.401913875598086	0.037037037037037	0.598086124401914	0.287671232876712
FlashWeave	0.225	0.433734939759036	0.0326388888888889	0.566265060240964	0.296296296296296
FlashWeave	0.196470588235294	0.393867924528302	0.0335947712418301	0.606132075471698	0.262166405023548
FlashWeave	0.222222222222222	0.460829493087558	0.0288888888888889	0.539170506912442	0.299850074962519
