method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC	0.216666666666667	0.393939393939394	0.037037037037037	0.606060606060606	0.279569892473118	0
ANCOM-BC	0.156	0.433333333333333	0.0226666666666667	0.566666666666667	0.229411764705882	0
ANCOM-BC	0.0833333333333333	0.431034482758621	0.0122222222222222	0.568965517241379	0.139664804469274	0
ANCOM-BC	0.0511111111111111	0.306666666666667	0.0128395061728395	0.693333333333333	0.0876190476190476	0
ANCOM-BC	0.0563636363636364	0.46969696969697	0.00707070707070707	0.53030303030303	0.100649350649351	0
ANCOM-BC	0.04	0.333333333333333	0.00888888888888889	0.666666666666667	0.0714285714285714	0
ANCOM-BC	0.0613333333333333	0.511111111111111	0.00651851851851852	0.488888888888889	0.10952380952381	0
ANCOM-BC	0.0476190476190476	0.392156862745098	0.0082010582010582	0.607843137254902	0.0849256900212314	0
ANCOM-BC	0.0326315789473684	0.413333333333333	0.00514619883040936	0.586666666666667	0.0604878048780488	0
ANCOM-BC	0.0245454545454545	0.45	0.00333333333333333	0.55	0.046551724137931	0
ANCOM-BC	0.0216666666666667	0.388059701492537	0.0037962962962963	0.611940298507463	0.0410418310970797	0
ANCOM-BC	0.0307692307692308	0.449438202247191	0.00418803418803419	0.550561797752809	0.0575953923686105	0
ANCOM-BC	0.0235714285714286	0.417721518987342	0.00365079365079365	0.582278481012658	0.0446247464503043	0
ANCOM-BC	0.02	0.37037037037037	0.00377777777777778	0.62962962962963	0.0379506641366224	0
ANCOM-BC	0.020625	0.407407407407407	0.00333333333333333	0.592592592592593	0.0392623438429506	0
ANCOM-BC	0.0147058823529412	0.390625	0.00254901960784314	0.609375	0.0283446712018141	0
