method	recall	precision	fpr	fdr	F1
FlashWeave	0.28	0.368421052631579	0.0252631578947368	0.631578947368421	0.318181818181818
FlashWeave	0.23	0.389830508474576	0.0189473684210526	0.610169491525424	0.289308176100629
FlashWeave	0.14	0.4375	0.00947368421052632	0.5625	0.212121212121212
FlashWeave	0.133663366336634	0.58695652173913	0.00493762993762994	0.41304347826087	0.217741935483871
FlashWeave	0.0745098039215686	0.316666666666667	0.00846233230134159	0.683333333333333	0.120634920634921
FlashWeave	0.11038961038961	0.465753424657534	0.00667579596028757	0.534246575342466	0.178477690288714
FlashWeave	0.0694444444444444	0.480769230769231	0.00394736842105263	0.519230769230769	0.121359223300971
FlashWeave	0.0625	0.43859649122807	0.00421052631578947	0.56140350877193	0.109409190371991
FlashWeave	0.0666666666666667	0.461538461538462	0.00409356725146199	0.538461538461538	0.116504854368932
FlashWeave	0.05	0.328947368421053	0.00536842105263158	0.671052631578947	0.0868055555555556
