method	recall	precision	fpr	fdr	F1
FlashWeave	0.38	0.426966292134831	0.0566666666666667	0.573033707865168	0.402116402116402
FlashWeave	0.3	0.458333333333333	0.0393939393939394	0.541666666666667	0.362637362637363
FlashWeave	0.291666666666667	0.432098765432099	0.0425925925925926	0.567901234567901	0.348258706467662
FlashWeave	0.2	0.4	0.0333333333333333	0.6	0.266666666666667
FlashWeave	0.2	0.432432432432432	0.0291666666666667	0.567567567567568	0.273504273504274
FlashWeave	0.2	0.523076923076923	0.0202614379084967	0.476923076923077	0.28936170212766
FlashWeave	0.172222222222222	0.53448275862069	0.0166666666666667	0.46551724137931	0.260504201680672
FlashWeave	0.163157894736842	0.462686567164179	0.0210526315789474	0.537313432835821	0.24124513618677
FlashWeave	0.124	0.442857142857143	0.0173333333333333	0.557142857142857	0.19375
