method	recall	precision	fpr	fdr	F1
FlashWeave	0.43	0.434343434343434	0.0622222222222222	0.565656565656566	0.4321608040201
FlashWeave	0.336363636363636	0.430232558139535	0.0494949494949495	0.569767441860465	0.377551020408163
FlashWeave	0.325	0.402061855670103	0.0537037037037037	0.597938144329897	0.359447004608295
FlashWeave	0.221428571428571	0.3875	0.0388888888888889	0.6125	0.281818181818182
FlashWeave	0.25	0.43956043956044	0.0354166666666667	0.56043956043956	0.318725099601594
FlashWeave	0.229411764705882	0.475609756097561	0.0281045751633987	0.524390243902439	0.30952380952381
FlashWeave	0.183333333333333	0.478260869565217	0.0222222222222222	0.521739130434783	0.265060240963855
FlashWeave	0.184210526315789	0.460526315789474	0.0239766081871345	0.539473684210526	0.263157894736842
FlashWeave	0.144	0.428571428571429	0.0213333333333333	0.571428571428571	0.215568862275449
