method	recall	precision	fpr	fdr	F1
ANCOM-BC2	0.005	0.333333333333333	0.0025	0.666666666666667	0.00985221674876847
ANCOM-BC2	0.0075	0.5	0.001875	0.5	0.0147783251231527
ANCOM-BC2	0.01	0.5	0.0025	0.5	0.0196078431372549
ANCOM-BC2	0.00617283950617284	0.5	0.00154320987654321	0.5	0.0121951219512195
ANCOM-BC2	0.00294117647058824	0.6	0.000490196078431373	0.4	0.00585365853658537
ANCOM-BC2	0.0048780487804878	0.6	0.000813008130081301	0.4	0.00967741935483871
ANCOM-BC2	0.00208333333333333	0.428571428571429	0.000694444444444444	0.571428571428571	0.00414651002073255
ANCOM-BC2	0.0025	0.571428571428571	0.00046875	0.428571428571429	0.00497822028624767
ANCOM-BC2	0.005	0.75	0.000416666666666667	0.25	0.00993377483443709
ANCOM-BC2	0.0075	0.789473684210526	5e-04	0.210526315789474	0.0148588410104012
