method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.67	0.330049261083744	0.151111111111111	0.669950738916256	0.442244224422442	0
FlashWeave	0.43	0.387387387387387	0.0755555555555556	0.612612612612613	0.407582938388626	0
FlashWeave	0.31	0.376518218623482	0.057037037037037	0.623481781376518	0.340036563071298	0
FlashWeave	0.225	0.42654028436019	0.0336111111111111	0.57345971563981	0.294599018003273	0
FlashWeave	0.21	0.41015625	0.0335555555555556	0.58984375	0.277777777777778	0
FlashWeave	0.18	0.425196850393701	0.027037037037037	0.574803149606299	0.252927400468384	0
FlashWeave	0.138571428571429	0.438914027149321	0.0196825396825397	0.561085972850679	0.210640608034745	0
FlashWeave	0.13125	0.433884297520661	0.0190277777777778	0.566115702479339	0.201535508637236	0
FlashWeave	0.108888888888889	0.427947598253275	0.0161728395061728	0.572052401746725	0.173604960141718	0
FlashWeave	0.104	0.404669260700389	0.017	0.595330739299611	0.165473349244232	0
FlashWeave	0.0927272727272727	0.411290322580645	0.0147474747474747	0.588709677419355	0.1513353115727	0
FlashWeave	0.0958333333333333	0.442307692307692	0.0134259259259259	0.557692307692308	0.157534246575342	0
FlashWeave	0.0723076923076923	0.358778625954198	0.0143589743589744	0.641221374045801	0.120358514724712	0
