method	recall	precision	fpr	fdr	F1
FlashWeave	0.54	0.174193548387097	0.134736842105263	0.825806451612903	0.263414634146341
FlashWeave	0.36	0.232258064516129	0.0626315789473684	0.767741935483871	0.282352941176471
FlashWeave	0.246666666666667	0.248322147651007	0.0392982456140351	0.751677852348993	0.247491638795987
FlashWeave	0.183168316831683	0.248322147651007	0.0291060291060291	0.751677852348993	0.210826210826211
FlashWeave	0.117647058823529	0.2	0.0247678018575851	0.8	0.148148148148148
FlashWeave	0.126623376623377	0.25	0.0200273878808627	0.75	0.168103448275862
FlashWeave	0.1	0.202247191011236	0.0207602339181287	0.797752808988764	0.133828996282528
FlashWeave	0.0925	0.232704402515723	0.0160526315789474	0.767295597484277	0.132379248658318
FlashWeave	0.0844444444444444	0.24203821656051	0.0139181286549708	0.75796178343949	0.125205930807249
FlashWeave	0.084	0.25609756097561	0.0128421052631579	0.74390243902439	0.126506024096386
