method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.57	0.395833333333333	0.0966666666666667	0.604166666666667	0.467213114754098	0
FlashWeave	0.355	0.383783783783784	0.0633333333333333	0.616216216216216	0.368831168831169	0
FlashWeave	0.283333333333333	0.36480686695279	0.0548148148148148	0.63519313304721	0.318949343339587	0
FlashWeave	0.21	0.444444444444444	0.0291666666666667	0.555555555555556	0.285229202037351	0
FlashWeave	0.198	0.410788381742739	0.0315555555555556	0.589211618257261	0.267206477732793	0
FlashWeave	0.173333333333333	0.426229508196721	0.0259259259259259	0.573770491803279	0.246445497630332	0
FlashWeave	0.135714285714286	0.456730769230769	0.0179365079365079	0.543269230769231	0.209251101321586	0
FlashWeave	0.1275	0.455357142857143	0.0169444444444444	0.544642857142857	0.19921875	0
FlashWeave	0.104444444444444	0.423423423423423	0.0158024691358025	0.576576576576577	0.167557932263815	0
FlashWeave	0.102	0.423236514522822	0.0154444444444444	0.576763485477178	0.164383561643836	0
FlashWeave	0.0918181818181818	0.422594142259414	0.0139393939393939	0.577405857740586	0.150858849887976	0
FlashWeave	0.0883333333333333	0.439834024896266	0.0125	0.560165975103734	0.147120055517002	0
FlashWeave	0.0692307692307692	0.37344398340249	0.0129059829059829	0.62655601659751	0.116807268007787	0
