method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.65	0.371428571428571	0.122222222222222	0.628571428571429	0.472727272727273	0
FlashWeave	0.41	0.450549450549451	0.0555555555555556	0.549450549450549	0.429319371727749	0
FlashWeave	0.213333333333333	0.395061728395062	0.0362962962962963	0.604938271604938	0.277056277056277	0
FlashWeave	0.222222222222222	0.471204188481675	0.0277091906721536	0.528795811518325	0.302013422818792	0
FlashWeave	0.166666666666667	0.42713567839196	0.0248366013071895	0.57286432160804	0.239774330042313	0
FlashWeave	0.104065040650407	0.41025641025641	0.0166214995483288	0.58974358974359	0.166018158236057	0
FlashWeave	0.101388888888889	0.447852760736196	0.0138888888888889	0.552147239263804	0.165345413363533	0
FlashWeave	0.07875	0.39375	0.0134722222222222	0.60625	0.13125	0
FlashWeave	0.0855555555555556	0.409574468085106	0.0137037037037037	0.590425531914894	0.141544117647059	0
FlashWeave	0.068	0.382022471910112	0.0122222222222222	0.617977528089888	0.115449915110357	0
