method	recall	precision	fpr	fdr	F1
ANCOM-BC	0.21	0.807692307692308	0.0125	0.192307692307692	0.333333333333333
ANCOM-BC	0.085	0.739130434782609	0.0075	0.260869565217391	0.152466367713005
ANCOM-BC	0.04	0.6	0.00666666666666667	0.4	0.075
ANCOM-BC	0.0345679012345679	0.736842105263158	0.00308641975308642	0.263157894736842	0.0660377358490566
ANCOM-BC	0.0264705882352941	0.794117647058823	0.0017156862745098	0.205882352941176	0.0512333965844402
ANCOM-BC	0.0203252032520325	0.714285714285714	0.00203252032520325	0.285714285714286	0.0395256916996047
ANCOM-BC	0.0138888888888889	0.625	0.00208333333333333	0.375	0.0271739130434783
ANCOM-BC	0.01375	0.628571428571429	0.00203125	0.371428571428571	0.0269113149847095
ANCOM-BC	0.0122222222222222	0.628571428571429	0.00180555555555556	0.371428571428571	0.0239782016348774
ANCOM-BC	0.0195	0.735849056603774	0.00175	0.264150943396226	0.0379931807111544
