method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC2	0.116666666666667	0.411764705882353	0.0185185185185185	0.588235294117647	0.181818181818182	0
ANCOM-BC2	0.084	0.552631578947368	0.00755555555555556	0.447368421052632	0.145833333333333	0
ANCOM-BC2	0.04	0.444444444444444	0.00555555555555556	0.555555555555556	0.073394495412844	0
ANCOM-BC2	0.0244444444444444	0.333333333333333	0.0054320987654321	0.666666666666667	0.0455486542443064	0
ANCOM-BC2	0.0309090909090909	0.548387096774194	0.00282828282828283	0.451612903225806	0.0585197934595525	0
ANCOM-BC2	0.0246153846153846	0.372093023255814	0.00461538461538462	0.627906976744186	0.0461760461760462	0
ANCOM-BC2	0.0306666666666667	0.442307692307692	0.0042962962962963	0.557692307692308	0.057356608478803	0
ANCOM-BC2	0.0261904761904762	0.338461538461538	0.00568783068783069	0.661538461538462	0.0486187845303867	0
ANCOM-BC2	0.0147368421052632	0.411764705882353	0.00233918128654971	0.588235294117647	0.0284552845528455	0
ANCOM-BC2	0.0145454545454545	0.444444444444444	0.00202020202020202	0.555555555555556	0.028169014084507	0
ANCOM-BC2	0.01	0.324324324324324	0.00231481481481481	0.675675675675676	0.0194017784963622	0
ANCOM-BC2	0.0130769230769231	0.5	0.00145299145299145	0.5	0.0254872563718141	0
ANCOM-BC2	0.0114285714285714	0.457142857142857	0.00150793650793651	0.542857142857143	0.0222996515679443	0
ANCOM-BC2	0.012	0.391304347826087	0.00207407407407407	0.608695652173913	0.0232858990944373	0
ANCOM-BC2	0.0125	0.434782608695652	0.00180555555555556	0.565217391304348	0.0243013365735115	0
ANCOM-BC2	0.00588235294117647	0.454545454545455	0.000784313725490196	0.545454545454545	0.0116144018583043	0
