method	recall	precision	fpr	fdr	F1
FlashWeave	0.3825	0.393316195372751	0.0655555555555556	0.606683804627249	0.387832699619772
FlashWeave	0.316	0.404092071611253	0.0517777777777778	0.595907928388747	0.354657687991021
FlashWeave	0.296666666666667	0.443890274314214	0.0412962962962963	0.556109725685786	0.355644355644356
FlashWeave	0.247692307692308	0.421465968586387	0.0377777777777778	0.578534031413613	0.312015503875969
FlashWeave	0.257142857142857	0.420560747663551	0.0393650793650794	0.579439252336449	0.319148936170213
FlashWeave	0.224	0.401913875598086	0.037037037037037	0.598086124401914	0.287671232876712
FlashWeave	0.22375	0.434466019417476	0.0323611111111111	0.565533980582524	0.295379537953795
FlashWeave	0.196470588235294	0.393867924528302	0.0335947712418301	0.606132075471698	0.262166405023548
FlashWeave	0.222222222222222	0.460829493087558	0.0288888888888889	0.539170506912442	0.299850074962519
