method	recall	precision	fpr	fdr	F1
FlashWeave	0.37	0.60655737704918	0.0266666666666667	0.39344262295082	0.459627329192547
FlashWeave	0.26	0.541666666666667	0.0244444444444444	0.458333333333333	0.351351351351351
FlashWeave	0.183333333333333	0.426356589147287	0.0274074074074074	0.573643410852713	0.256410256410256
FlashWeave	0.1425	0.532710280373832	0.0138888888888889	0.467289719626168	0.224852071005917
FlashWeave	0.128	0.516129032258065	0.0133333333333333	0.483870967741935	0.205128205128205
FlashWeave	0.115	0.482517482517482	0.0137037037037037	0.517482517482518	0.185733512786003
FlashWeave	0.101428571428571	0.546153846153846	0.00936507936507936	0.453846153846154	0.171084337349398
FlashWeave	0.09	0.521739130434783	0.00916666666666667	0.478260869565217	0.153518123667377
FlashWeave	0.0766666666666667	0.507352941176471	0.0082716049382716	0.492647058823529	0.133204633204633
FlashWeave	0.07	0.555555555555556	0.00622222222222222	0.444444444444444	0.124333925399645
FlashWeave	0.0563636363636364	0.496	0.00636363636363636	0.504	0.101224489795918
FlashWeave	0.0516666666666667	0.53448275862069	0.005	0.46551724137931	0.0942249240121581
FlashWeave	0.0484615384615385	0.504	0.0052991452991453	0.496	0.088421052631579
