method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.08	1	0	0	0.148148148148148	0
FlashWeave	0.0333333333333333	0.8	0.000925925925925926	0.2	0.064	0
FlashWeave	0.0357142857142857	0.625	0.00238095238095238	0.375	0.0675675675675676	0
FlashWeave	0.025	0.8	0.000694444444444444	0.2	0.0484848484848485	0
FlashWeave	0.0333333333333333	0.666666666666667	0.00185185185185185	0.333333333333333	0.0634920634920635	0
FlashWeave	0.035	0.583333333333333	0.00277777777777778	0.416666666666667	0.0660377358490566	0
FlashWeave	0.0227272727272727	0.833333333333333	0.000505050505050505	0.166666666666667	0.0442477876106195	0
FlashWeave	0.0166666666666667	0.444444444444444	0.00231481481481481	0.555555555555556	0.0321285140562249	0
FlashWeave	0.0352941176470588	0.642857142857143	0.00217864923747277	0.357142857142857	0.0669144981412639	0
