method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.466666666666667	0.330708661417323	0.104938271604938	0.669291338582677	0.387096774193548	0
FlashWeave	0.578947368421053	0.398550724637681	0.0970760233918129	0.601449275362319	0.472103004291845	0
FlashWeave	0.4	0.425531914893617	0.06	0.574468085106383	0.412371134020619	0
FlashWeave	0.466666666666667	0.385826771653543	0.0825396825396825	0.614173228346457	0.422413793103448	0
FlashWeave	0.418181818181818	0.418181818181818	0.0646464646464646	0.581818181818182	0.418181818181818	0
FlashWeave	0.4	0.425925925925926	0.0599033816425121	0.574074074074074	0.412556053811659	0
FlashWeave	0.541666666666667	0.436241610738255	0.0777777777777778	0.563758389261745	0.483271375464684	0
