method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC	0.3825	0.400523560209424	0.0636111111111111	0.599476439790576	0.391304347826087	0
ANCOM-BC	0.324	0.412213740458015	0.0513333333333333	0.587786259541985	0.362821948488242	0
ANCOM-BC	0.258333333333333	0.395408163265306	0.0438888888888889	0.604591836734694	0.3125	0
ANCOM-BC	0.246153846153846	0.43360433604336	0.0357264957264957	0.56639566395664	0.314033366045142	0
ANCOM-BC	0.212857142857143	0.394179894179894	0.0363492063492063	0.605820105820106	0.276437847866419	0
ANCOM-BC	0.206666666666667	0.385572139303483	0.0365925925925926	0.614427860696517	0.269097222222222	0
ANCOM-BC	0.1825	0.385224274406332	0.0323611111111111	0.614775725593668	0.247667514843087	0
ANCOM-BC	0.183529411764706	0.414893617021277	0.0287581699346405	0.585106382978723	0.254486133768352	0
ANCOM-BC	0.19	0.409090909090909	0.0304938271604938	0.590909090909091	0.25948406676783	0
