method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC	0.17	0.361702127659574	0.0333333333333333	0.638297872340426	0.231292517006803	0
ANCOM-BC	0.109090909090909	0.413793103448276	0.0171717171717172	0.586206896551724	0.172661870503597	0
ANCOM-BC	0.158333333333333	0.431818181818182	0.0231481481481481	0.568181818181818	0.231707317073171	0
ANCOM-BC	0.171428571428571	0.5	0.019047619047619	0.5	0.25531914893617	0
ANCOM-BC	0.1375	0.448979591836735	0.01875	0.551020408163265	0.210526315789474	0
ANCOM-BC	0.141176470588235	0.51063829787234	0.0150326797385621	0.48936170212766	0.221198156682028	0
ANCOM-BC	0.133333333333333	0.48	0.0160493827160494	0.52	0.208695652173913	0
ANCOM-BC	0.0368421052631579	0.5	0.00409356725146199	0.5	0.0686274509803921	0
ANCOM-BC	0.075	0.483870967741935	0.00888888888888889	0.516129032258065	0.12987012987013	0
