method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.6	0.252631578947368	0.197222222222222	0.747368421052632	0.355555555555556	0
FlashWeave	0.52	0.269896193771626	0.156296296296296	0.730103806228374	0.355353075170843	0
FlashWeave	0.51	0.344594594594595	0.107777777777778	0.655405405405405	0.411290322580645	0
FlashWeave	0.552	0.390934844192635	0.0955555555555556	0.609065155807365	0.45771144278607	0
FlashWeave	0.48	0.375	0.0888888888888889	0.625	0.421052631578947	0
FlashWeave	0.417142857142857	0.374358974358974	0.0774603174603175	0.625641025641026	0.394594594594595	0
FlashWeave	0.425	0.426065162907268	0.0636111111111111	0.573934837092732	0.425531914893617	0
FlashWeave	0.36	0.446280991735537	0.0496296296296296	0.553719008264463	0.398523985239852	0
FlashWeave	0.364	0.4	0.0606666666666667	0.6	0.381151832460733	0
FlashWeave	0.361111111111111	0.433333333333333	0.0524691358024691	0.566666666666667	0.393939393939394	0
