method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.86	0.315886134067952	0.206944444444444	0.684113865932048	0.462055070517126	0
FlashWeave	0.802	0.373718546132339	0.149333333333333	0.626281453867661	0.509853782581055	0
FlashWeave	0.706666666666667	0.383710407239819	0.126111111111111	0.616289592760181	0.497360703812317	0
FlashWeave	0.683076923076923	0.401084010840108	0.113333333333333	0.598915989159892	0.505406943653956	0
FlashWeave	0.637142857142857	0.398926654740608	0.106666666666667	0.601073345259392	0.490649064906491	0
FlashWeave	0.604	0.412944393801276	0.0954074074074074	0.587055606198724	0.490525175961018	0
FlashWeave	0.565	0.41735918744229	0.0876388888888889	0.58264081255771	0.48008497079129	0
FlashWeave	0.522352941176471	0.404740200546946	0.085359477124183	0.595259799453054	0.456086286594761	0
FlashWeave	0.514444444444444	0.427516158818098	0.0765432098765432	0.572483841181902	0.466969238527484	0
