method	recall	precision	fpr	fdr	F1	na_precision
ANCOM-BC	0.233333333333333	0.456521739130435	0.0308641975308642	0.543478260869565	0.308823529411765	0
ANCOM-BC	0.157894736842105	0.375	0.0292397660818713	0.625	0.222222222222222	0
ANCOM-BC	0.12	0.413793103448276	0.0188888888888889	0.586206896551724	0.186046511627907	0
ANCOM-BC	0.238095238095238	0.520833333333333	0.0243386243386243	0.479166666666667	0.326797385620915	0
ANCOM-BC	0.145454545454545	0.355555555555556	0.0292929292929293	0.644444444444444	0.206451612903226	0
ANCOM-BC	0.156521739130435	0.486486486486487	0.0183574879227053	0.513513513513513	0.236842105263158	0
ANCOM-BC	0.2	0.406779661016949	0.0324074074074074	0.593220338983051	0.268156424581006	0
