method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.522222222222222	0.311258278145695	0.128395061728395	0.688741721854305	0.390041493775934	0
FlashWeave	0.694736842105263	0.379310344827586	0.126315789473684	0.620689655172414	0.490706319702602	0
FlashWeave	0.46	0.328571428571429	0.104444444444444	0.671428571428571	0.383333333333333	0
FlashWeave	0.580952380952381	0.391025641025641	0.100529100529101	0.608974358974359	0.467432950191571	0
FlashWeave	0.545454545454545	0.382165605095541	0.097979797979798	0.617834394904459	0.449438202247191	0
FlashWeave	0.521739130434783	0.397350993377483	0.0879227053140097	0.602649006622517	0.451127819548872	0
FlashWeave	0.6	0.433734939759036	0.087037037037037	0.566265060240964	0.503496503496504	0
