method	recall	precision	fpr	fdr	F1	na_precision
FlashWeave	0.135	0.315789473684211	0.0325	0.684210526315789	0.189141856392294	0
FlashWeave	0.126	0.353932584269663	0.0255555555555556	0.646067415730337	0.185840707964602	0
FlashWeave	0.101666666666667	0.403973509933775	0.0166666666666667	0.596026490066225	0.162450066577896	0
FlashWeave	0.0876923076923077	0.387755102040816	0.0153846153846154	0.612244897959184	0.143036386449184	0
FlashWeave	0.0914285714285714	0.374269005847953	0.016984126984127	0.625730994152047	0.146957520091848	0
FlashWeave	0.0786666666666667	0.418439716312057	0.0121481481481481	0.581560283687943	0.132435465768799	0
FlashWeave	0.07375	0.393333333333333	0.0126388888888889	0.606666666666667	0.124210526315789	0
FlashWeave	0.0611764705882353	0.366197183098592	0.0117647058823529	0.633802816901408	0.104838709677419	0
FlashWeave	0.0644444444444444	0.369426751592357	0.0122222222222222	0.630573248407643	0.109744560075686	0
